Game,Team,,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2020-08-04 - Flames 6, Jets 2",Winnipeg Jets,Limited ReportFull ReportSeries Report,60,58,51,53.21,40,38,51.28,35,32,52.24,2,6,25,1.56,3.07,33.65,23,24,48.94,7,9,43.75,6,7,46.15,1,4,20,16.67,42.86,16,15,51.61,7,8,46.67,1,2,33.33,14.29,75,31,22,58.49,21,15,58.33,0,0,-,0,100,5.71,81.25,0.87,0
"2020-08-04 - Hurricanes 4, Rangers 1",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,63,59,51.64,45,44,50.56,31,38,44.93,4,1,80,3.09,2.56,54.64,25,32,43.86,12,11,52.17,8,8,50,2,1,66.67,25,87.5,13,21,38.24,4,13,23.53,2,0,100,50,100,30,25,54.55,15,15,50,0,0,-,0,100,12.9,97.37,1.103,0
"2020-08-04 - Hurricanes 4, Rangers 1",New York Rangers,Limited ReportFull ReportSeries Report,60,59,63,48.36,44,45,49.44,38,31,55.07,1,4,20,2.56,3.09,45.36,32,25,56.14,11,12,47.83,8,8,50,1,2,33.33,12.5,75,21,13,61.76,13,4,76.47,0,2,0,0,50,25,30,45.45,15,15,50,0,0,-,0,100,2.63,87.1,0.897,0
"2020-08-04 - Panthers 2, Islanders 4",Florida Panthers,Limited ReportFull ReportSeries Report,60,56,57,49.56,40,44,47.62,28,34,45.16,2,4,33.33,2.63,2.65,49.82,33,31,51.56,12,13,48,8,10,44.44,0,2,0,0,80,21,18,53.85,11,14,44,2,1,66.67,18.18,92.86,23,23,50,9,8,52.94,0,1,0,0,87.5,7.14,88.24,0.954,0
"2020-08-04 - Panthers 2, Islanders 4",New York Islanders,Limited ReportFull ReportSeries Report,60,57,56,50.44,44,40,52.38,34,28,54.84,4,2,66.67,2.65,2.63,50.18,31,33,48.44,13,12,52,10,8,55.56,2,0,100,20,100,18,21,46.15,14,11,56,1,2,33.33,7.14,81.82,23,23,50,8,9,47.06,1,0,100,12.5,100,11.76,92.86,1.046,0
"2020-08-04 - Wild 3, Canucks 4",Minnesota Wild,Limited ReportFull ReportSeries Report,60,59,49,54.63,46,39,54.12,35,28,55.56,3,4,42.86,2.04,2.47,45.28,24,24,50,8,10,44.44,7,6,53.85,0,2,0,0,66.67,16,14,53.33,6,10,37.5,2,1,66.67,33.33,90,32,23,58.18,20,12,62.5,1,1,50,5,91.67,8.57,85.71,0.943,0
"2020-08-04 - Wild 3, Canucks 4",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,49,59,45.37,39,46,45.88,28,35,44.44,4,3,57.14,2.47,2.04,54.72,24,24,50,10,8,55.56,6,7,46.15,2,0,100,33.33,100,14,16,46.67,10,6,62.5,1,2,33.33,10,66.67,23,32,41.82,12,20,37.5,1,1,50,8.33,95,14.29,91.43,1.057,0
"2020-08-05 - Avalanche 4, Stars 0",Colorado Avalanche,Limited ReportFull Report,60,69,44,61.06,56,40,58.33,40,27,59.7,4,0,100,3.76,2.46,60.46,35,19,64.81,17,13,56.67,15,9,62.5,2,0,100,13.33,100,18,6,75,6,2,75,0,0,-,0,100,30,23,56.6,18,15,54.55,2,0,100,11.11,100,10,100,1.1,0
"2020-08-05 - Avalanche 4, Stars 0",Dallas Stars,Limited ReportFull Report,60,44,69,38.94,40,56,41.67,27,40,40.3,0,4,0,2.46,3.76,39.54,19,35,35.19,13,17,43.33,9,15,37.5,0,2,0,0,86.67,6,18,25,2,6,25,0,0,-,0,100,23,30,43.4,15,18,45.45,0,2,0,0,88.89,0,90,0.9,0
"2020-08-05 - Islanders 2, Panthers 3",Florida Panthers,Limited ReportFull ReportSeries Report,60,47,51,47.96,34,37,47.89,22,22,50,3,2,60,2.71,1.79,60.12,30,25,54.55,11,11,50,7,6,53.85,1,0,100,14.29,100,19,14,57.58,8,5,61.54,2,1,66.67,25,80,12,23,34.29,5,8,38.46,0,1,0,0,87.5,13.64,90.91,1.045,0
"2020-08-05 - Islanders 2, Panthers 3",New York Islanders,Limited ReportFull ReportSeries Report,60,51,47,52.04,37,34,52.11,22,22,50,2,3,40,1.79,2.71,39.88,25,30,45.45,11,11,50,6,7,46.15,0,1,0,0,85.71,14,19,42.42,5,8,38.46,1,2,33.33,20,75,23,12,65.71,8,5,61.54,1,0,100,12.5,100,9.09,86.36,0.955,0
"2020-08-05 - Lightning 3, Bruins 2",Boston Bruins,Limited ReportFull Report,60,58,58,50,42,48,46.67,27,35,43.55,2,3,40,2.02,2.98,40.41,24,27,47.06,8,14,36.36,4,11,26.67,1,3,25,25,72.73,16,13,55.17,6,6,50,0,0,-,0,100,33,28,54.1,17,16,51.52,1,0,100,5.88,100,7.41,91.43,0.988,0
"2020-08-05 - Lightning 3, Bruins 2",Tampa Bay Lightning,Limited ReportFull Report,60,58,58,50,48,42,53.33,35,27,56.45,3,2,60,2.98,2.02,59.59,27,24,52.94,14,8,63.64,11,4,73.33,3,1,75,27.27,75,13,16,44.83,6,6,50,0,0,-,0,100,28,33,45.9,16,17,48.48,0,1,0,0,94.12,8.57,92.59,1.012,0
"2020-08-05 - Oilers 3, Blackhawks 4",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,54,51,51.43,40,38,51.28,25,28,47.17,4,3,57.14,2.35,3.3,41.67,27,27,50,8,15,34.78,5,13,27.78,3,3,50,60,76.92,19,12,61.29,5,5,50,0,0,-,0,100,26,23,53.06,14,10,58.33,1,0,100,7.14,100,16,89.29,1.053,0
"2020-08-05 - Oilers 3, Blackhawks 4",Edmonton Oilers,Limited ReportFull ReportSeries Report,60,51,54,48.57,38,40,48.72,28,25,52.83,3,4,42.86,3.3,2.35,58.33,27,27,50,15,8,65.22,13,5,72.22,3,3,50,23.08,40,12,19,38.71,5,5,50,0,0,-,0,100,23,26,46.94,10,14,41.67,0,1,0,0,92.86,10.71,84,0.947,0
"2020-08-05 - Penguins 3, Canadiens 4",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,58,57,50.43,41,41,50,31,33,48.44,4,3,57.14,2.73,2.91,48.42,29,32,47.54,11,18,37.93,9,14,39.13,3,2,60,33.33,85.71,18,14,56.25,12,6,66.67,0,0,-,0,100,21,22,48.84,6,10,37.5,1,1,50,16.67,90,12.9,90.91,1.038,0
"2020-08-05 - Penguins 3, Canadiens 4",Pittsburgh Penguins,Limited ReportFull ReportSeries Report,60,57,58,49.57,41,41,50,33,31,51.56,3,4,42.86,2.91,2.73,51.58,32,29,52.46,18,11,62.07,14,9,60.87,2,3,40,14.29,66.67,14,18,43.75,6,12,33.33,0,0,-,0,100,22,21,51.16,10,6,62.5,1,1,50,10,83.33,9.09,87.1,0.962,0
"2020-08-05 - Predators 1, Coyotes 4",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,51,69,42.5,33,47,41.25,28,40,41.18,4,1,80,2.03,2.85,41.66,23,37,38.33,8,16,33.33,5,13,27.78,1,1,50,20,92.31,15,21,41.67,8,9,47.06,2,0,100,25,100,25,26,49.02,14,17,45.16,0,0,-,0,100,14.29,97.5,1.118,0
"2020-08-05 - Predators 1, Coyotes 4",Nashville Predators,Limited ReportFull ReportSeries Report,60,69,51,57.5,47,33,58.75,40,28,58.82,1,4,20,2.85,2.03,58.34,37,23,61.67,16,8,66.67,13,5,72.22,1,1,50,7.69,80,21,15,58.33,9,8,52.94,0,2,0,0,75,26,25,50.98,17,14,54.84,0,0,-,0,100,2.5,85.71,0.882,0
"2020-08-06 - Canucks 3, Wild 0",Minnesota Wild,Limited ReportFull ReportSeries Report,60,72,52,58.06,50,41,54.95,27,29,48.21,0,3,0,2.83,2.6,52.12,41,21,66.13,15,14,51.72,8,10,44.44,0,2,0,0,80,26,7,78.79,10,4,71.43,0,1,0,0,75,28,29,49.12,9,14,39.13,0,0,-,0,100,0,89.66,0.897,0
"2020-08-06 - Canucks 3, Wild 0",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,52,72,41.94,41,50,45.05,29,27,51.79,3,0,100,2.6,2.83,47.88,21,41,33.87,14,15,48.28,10,8,55.56,2,0,100,20,100,7,26,21.21,4,10,28.57,1,0,100,25,100,29,28,50.88,14,9,60.87,0,0,-,0,100,10.34,100,1.103,0
"2020-08-06 - Capitals 1, Flyers 3",Philadelphia Flyers,Limited ReportFull Report,60,41,36,53.25,31,28,52.54,21,17,55.26,3,1,75,2.67,1.45,64.82,22,16,57.89,9,5,64.29,8,1,88.89,3,1,75,37.5,0,13,11,54.17,6,6,50,0,0,-,0,100,18,20,47.37,6,10,37.5,0,0,-,0,100,14.29,94.12,1.084,0
"2020-08-06 - Capitals 1, Flyers 3",Washington Capitals,Limited ReportFull Report,60,36,41,46.75,28,31,47.46,17,21,44.74,1,3,25,1.45,2.67,35.18,16,22,42.11,5,9,35.71,1,8,11.11,1,3,25,100,62.5,11,13,45.83,6,6,50,0,0,-,0,100,20,18,52.63,10,6,62.5,0,0,-,0,100,5.88,85.71,0.916,0
"2020-08-06 - Flames 4, Jets 0",Calgary Flames,Limited ReportFull ReportSeries Report,60,61,64,48.8,43,43,50,34,31,52.31,4,0,100,4.27,2.12,66.77,28,28,50,13,7,65,9,4,69.23,1,0,100,11.11,100,15,21,41.67,6,11,35.29,2,0,100,33.33,100,27,31,46.55,16,14,53.33,0,0,-,0,100,11.76,100,1.118,0
"2020-08-06 - Flames 4, Jets 0",Winnipeg Jets,Limited ReportFull ReportSeries Report,60,64,61,51.2,43,43,50,31,34,47.69,0,4,0,2.12,4.27,33.23,28,28,50,7,13,35,4,9,30.77,0,1,0,0,88.89,21,15,58.33,11,6,64.71,0,2,0,0,66.67,31,27,53.45,14,16,46.67,0,0,-,0,100,0,88.24,0.882,0
"2020-08-06 - Golden Knights 6, Blues 4",St Louis Blues,Limited ReportFull Report,60,28,71,28.28,21,51,29.17,17,38,30.91,4,6,40,1.34,3.93,25.38,14,30,31.82,8,16,33.33,5,11,31.25,3,3,50,60,72.73,6,14,30,4,5,44.44,1,1,50,25,80,11,37,22.92,6,19,24,0,2,0,0,89.47,23.53,84.21,1.077,0
"2020-08-06 - Golden Knights 6, Blues 4",Vegas Golden Knights,Limited ReportFull Report,60,71,28,71.72,51,21,70.83,38,17,69.09,6,4,60,3.93,1.34,74.62,30,14,68.18,16,8,66.67,11,5,68.75,3,3,50,27.27,40,14,6,70,5,4,55.56,1,1,50,20,75,37,11,77.08,19,6,76,2,0,100,10.53,100,15.79,76.47,0.923,0
"2020-08-06 - Maple Leafs 3, Blue Jackets 4",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,78.4,82,78,51.25,58,58,50,43,36,54.43,4,3,57.14,2.45,2.96,45.32,39,43,47.56,14,17,45.16,10,13,43.48,1,1,50,10,92.31,25,26,49.02,7,6,53.85,1,1,50,14.29,83.33,40,31,56.34,25,16,60.98,2,1,66.67,8,93.75,9.3,91.67,1.01,0
"2020-08-06 - Maple Leafs 3, Blue Jackets 4",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,78.4,78,82,48.75,58,58,50,36,43,45.57,3,4,42.86,2.96,2.45,54.68,43,39,52.44,17,14,54.84,13,10,56.52,1,1,50,7.69,90,26,25,50.98,6,7,46.15,1,1,50,16.67,85.71,31,40,43.66,16,25,39.02,1,2,33.33,6.25,92,8.33,90.7,0.99,0
"2020-08-07 - Canucks 5, Wild 4",Minnesota Wild,Limited ReportFull ReportSeries Report,60.183333333333,49,62,44.14,38,43,46.91,29,31,48.33,4,5,44.44,2.63,2.63,49.98,19,21,47.5,9,13,40.91,7,10,41.18,2,2,50,28.57,80,10,8,55.56,2,3,40,0,0,-,0,100,28,35,44.44,18,17,51.43,2,3,40,11.11,82.35,13.79,83.87,0.977,0
