Team,CF,CA,CF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF%,HDSF%,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
Calgary Flames,51,58,46.79,32,35,47.76,6,2,75.0,3.07,1.56,66.35,24,23,51.06,56.25,53.85,80,57.14,83.33,18.75,94.29,1.13
Winnipeg Jets,58,51,53.21,35,32,52.24,2,6,25.0,1.56,3.07,33.65,23,24,48.94,43.75,46.15,20,16.67,42.86,5.71,81.25,0.87
Carolina Hurricanes,63,59,51.64,31,38,44.93,4,1,80.0,3.09,2.56,54.64,25,32,43.86,52.17,50.0,66.67,25,87.5,12.9,97.37,1.103
New York Rangers,59,63,48.36,38,31,55.07,1,4,20.0,2.56,3.09,45.36,32,25,56.14,47.83,50.0,33.33,12.5,75,2.63,87.1,0.897
Florida Panthers,56,57,49.56,28,34,45.16,2,4,33.33,2.63,2.65,49.82,33,31,51.56,48.0,44.44,0,0,80,7.14,88.24,0.9540000000000001
New York Islanders,57,56,50.44,34,28,54.84,4,2,66.67,2.65,2.63,50.18,31,33,48.44,52.0,55.56,100,20,100,11.76,92.86,1.046
Minnesota Wild,59,49,54.63,35,28,55.56,3,4,42.86,2.04,2.47,45.28,24,24,50.0,44.44,53.85,0,0,66.67,8.57,85.71,0.943
Vancouver Canucks,49,59,45.37,28,35,44.44,4,3,57.14,2.47,2.04,54.72,24,24,50.0,55.56,46.15,100,33.33,100,14.29,91.43,1.057
Colorado Avalanche,69,44,61.06,40,27,59.7,4,0,100.0,3.76,2.46,60.46,35,19,64.81,56.67,62.5,100,13.33,100,10.0,100.0,1.1
Dallas Stars,44,69,38.94,27,40,40.3,0,4,0.0,2.46,3.76,39.54,19,35,35.19,43.33,37.5,0,0,86.67,0.0,90.0,0.9
Florida Panthers,47,51,47.96,22,22,50.0,3,2,60.0,2.71,1.79,60.12,30,25,54.55,50.0,53.85,100,14.29,100,13.64,90.91,1.045
New York Islanders,51,47,52.04,22,22,50.0,2,3,40.0,1.79,2.71,39.88,25,30,45.45,50.0,46.15,0,0,85.71,9.09,86.36,0.955
Boston Bruins,58,58,50.0,27,35,43.55,2,3,40.0,2.02,2.98,40.41,24,27,47.06,36.36,26.67,25,25,72.73,7.41,91.43,0.988
Tampa Bay Lightning,58,58,50.0,35,27,56.45,3,2,60.0,2.98,2.02,59.59,27,24,52.94,63.64,73.33,75,27.27,75,8.57,92.59,1.012
Chicago Blackhawks,54,51,51.43,25,28,47.17,4,3,57.14,2.35,3.3,41.67,27,27,50.0,34.78,27.78,50,60,76.92,16.0,89.29,1.053
Edmonton Oilers,51,54,48.57,28,25,52.83,3,4,42.86,3.3,2.35,58.33,27,27,50.0,65.22,72.22,50,23.08,40,10.71,84.0,0.9470000000000001
Montreal Canadiens,58,57,50.43,31,33,48.44,4,3,57.14,2.73,2.91,48.42,29,32,47.54,37.93,39.13,60,33.33,85.71,12.9,90.91,1.038
Pittsburgh Penguins,57,58,49.57,33,31,51.56,3,4,42.86,2.91,2.73,51.58,32,29,52.46,62.07,60.87,40,14.29,66.67,9.09,87.1,0.9620000000000001
Arizona Coyotes,51,69,42.5,28,40,41.18,4,1,80.0,2.03,2.85,41.66,23,37,38.33,33.33,27.78,50,20,92.31,14.29,97.5,1.1179999999999999
Nashville Predators,69,51,57.5,40,28,58.82,1,4,20.0,2.85,2.03,58.34,37,23,61.67,66.67,72.22,50,7.69,80,2.5,85.71,0.882
Minnesota Wild,72,52,58.06,27,29,48.21,0,3,0.0,2.83,2.6,52.12,41,21,66.13,51.72,44.44,0,0,80,0.0,89.66,0.897
Vancouver Canucks,52,72,41.94,29,27,51.79,3,0,100.0,2.6,2.83,47.88,21,41,33.87,48.28,55.56,100,20,100,10.34,100.0,1.103
Philadelphia Flyers,41,36,53.25,21,17,55.26,3,1,75.0,2.67,1.45,64.82,22,16,57.89,64.29,88.89,75,37.5,0,14.29,94.12,1.084
Washington Capitals,36,41,46.75,17,21,44.74,1,3,25.0,1.45,2.67,35.18,16,22,42.11,35.71,11.11,25,100,62.5,5.88,85.71,0.9159999999999999
