Team,CF,CA,CF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF%,HDSF%,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
St Louis Blues,61,72,45.86,39,30,56.52,3,4,42.86,2.86,2.97,49.09,26,35,42.62,47.83,60.0,0,0,50,7.69,86.67,0.9440000000000001
Vancouver Canucks,72,61,54.14,30,39,43.48,4,3,57.14,2.97,2.86,50.91,35,26,57.38,52.17,40.0,100,50,100,13.33,92.31,1.056
Arizona Coyotes,51,58,46.79,24,36,40.0,1,7,12.5,1.63,2.92,35.8,20,36,35.71,43.48,40.0,20,12.5,66.67,4.17,80.56,0.847
Colorado Avalanche,58,51,53.21,36,24,60.0,7,1,87.5,2.92,1.63,64.2,36,20,64.29,56.52,60.0,80,33.33,87.5,19.44,95.83,1.153
Boston Bruins,47,60,43.93,27,24,52.94,2,1,66.67,2.46,2.91,45.86,22,38,36.67,39.13,33.33,100,25,100,7.41,95.83,1.032
Carolina Hurricanes,60,47,56.07,24,27,47.06,1,2,33.33,2.91,2.46,54.14,38,22,63.33,60.87,66.67,0,0,75,4.17,92.59,0.968
New York Islanders,32,66,32.65,17,21,44.74,4,0,100.0,2.3,1.37,62.65,16,19,45.71,53.85,57.14,100,25,100,23.53,100.0,1.235
Washington Capitals,66,32,67.35,21,17,55.26,0,4,0.0,1.37,2.3,37.35,19,16,54.29,46.15,42.86,0,0,75,0.0,76.47,0.765
Calgary Flames,80,41,66.12,41,24,63.08,3,7,30.0,3.6,2.42,59.86,41,20,67.21,62.5,68.75,0,0,20,7.32,70.83,0.782
Dallas Stars,41,80,33.88,24,41,36.92,7,3,70.0,2.42,3.6,40.14,20,41,32.79,37.5,31.25,100,80,100,29.17,92.68,1.218
St Louis Blues,77,46,62.6,36,25,59.02,2,6,25.0,3.45,3.37,50.54,41,26,61.19,68.0,64.71,33.33,9.09,66.67,5.56,76.0,0.816
Vancouver Canucks,46,77,37.4,25,36,40.98,6,2,75.0,3.37,3.45,49.46,26,41,38.81,32.0,35.29,66.67,33.33,90.91,24.0,94.44,1.1840000000000002
Montreal Canadiens,71,35,66.98,33,17,66.0,2,3,40.0,2.59,1.34,65.85,27,15,64.29,75.0,66.67,50,12.5,75,6.06,82.35,0.884
Philadelphia Flyers,35,71,33.02,17,33,34.0,3,2,60.0,1.34,2.59,34.15,15,27,35.71,25.0,33.33,50,25,87.5,17.65,93.94,1.1159999999999999
Colorado Avalanche,57,51,52.78,31,30,50.82,3,5,37.5,2.1,2.11,49.78,25,27,48.08,42.11,50.0,40,25,62.5,9.68,83.33,0.93
Dallas Stars,51,57,47.22,30,31,49.18,5,3,62.5,2.11,2.1,50.22,27,25,51.92,57.89,50.0,60,37.5,75,16.67,90.32,1.07
Boston Bruins,63,72,46.67,31,37,45.59,3,2,60.0,2.79,3.23,46.3,31,34,47.69,45.83,42.86,100,22.22,100,9.68,94.59,1.043
Tampa Bay Lightning,72,63,53.33,37,31,54.41,2,3,40.0,3.23,2.79,53.7,34,31,52.31,54.17,57.14,0,0,77.78,5.41,90.32,0.9570000000000001
Vancouver Canucks,62,73,45.93,26,39,40.0,0,5,0.0,1.51,3.49,30.2,28,35,44.44,33.33,18.75,0,0,61.54,0.0,87.18,0.872
Vegas Golden Knights,73,62,54.07,39,26,60.0,5,0,100.0,3.49,1.51,69.8,35,28,55.56,66.67,81.25,100,38.46,100,12.82,100.0,1.128
New York Islanders,51,67,43.22,29,29,50.0,4,0,100.0,3.44,2.33,59.62,32,29,52.46,55.0,60.0,100,11.11,100,13.79,100.0,1.138
Philadelphia Flyers,67,51,56.78,29,29,50.0,0,4,0.0,2.33,3.44,40.38,29,32,47.54,45.0,40.0,0,0,88.89,0.0,86.21,0.862
Colorado Avalanche,74,34,68.52,40,27,59.7,2,5,28.57,3.62,3.34,51.98,30,19,61.22,56.0,56.52,20,7.69,60,5.0,81.48,0.865
Dallas Stars,34,74,31.48,27,40,40.3,5,2,71.43,3.34,3.62,48.02,19,30,38.78,44.0,43.48,80,40,92.31,18.52,95.0,1.135
Boston Bruins,54,86,38.57,25,40,38.46,3,4,42.86,1.76,3.69,32.31,26,34,43.33,27.27,29.41,50,60,75,12.0,90.0,1.02
Tampa Bay Lightning,86,54,61.43,40,25,61.54,4,3,57.14,3.69,1.76,67.69,34,26,56.67,72.73,70.59,50,25,40,10.0,88.0,0.98
Vancouver Canucks,56,93,37.58,27,40,40.3,5,2,71.43,3.75,3.38,52.58,27,42,39.13,50.0,45.83,100,45.45,100,18.52,95.0,1.135
Vegas Golden Knights,93,56,62.42,40,27,59.7,2,5,28.57,3.38,3.75,47.42,42,27,60.87,50.0,54.17,0,0,54.55,5.0,81.48,0.865
Colorado Avalanche,63,69,47.73,32,37,46.38,6,4,60.0,3.24,3.89,45.47,26,31,45.61,34.62,36.36,66.67,25,92.86,18.75,89.19,1.079
Dallas Stars,69,63,52.27,37,32,53.62,4,6,40.0,3.89,3.24,54.53,31,26,54.39,65.38,63.64,33.33,7.14,75,10.81,81.25,0.9209999999999999
New York Islanders,71,53,57.26,34,31,52.31,3,4,42.86,3.23,2.17,59.85,32,27,54.24,62.5,64.71,50,18.18,66.67,8.82,87.1,0.9590000000000001
Philadelphia Flyers,53,71,42.74,31,34,47.69,4,3,57.14,2.17,3.23,40.15,27,32,45.76,37.5,35.29,50,33.33,81.82,12.9,91.18,1.041
Boston Bruins,52,54,49.06,24,31,43.64,1,7,12.5,2.03,2.03,49.9,18,23,43.9,47.06,46.15,16.67,16.67,28.57,4.17,77.42,0.816
Tampa Bay Lightning,54,52,50.94,31,24,56.36,7,1,87.5,2.03,2.03,50.1,23,18,56.1,52.94,53.85,83.33,71.43,83.33,22.58,95.83,1.1840000000000002
New York Islanders,57,63,47.5,29,27,51.79,3,1,75.0,2.69,2.27,54.26,29,28,50.88,60.71,66.67,100,16.67,100,10.34,96.3,1.0659999999999998
Philadelphia Flyers,63,57,52.5,27,29,48.21,1,3,25.0,2.27,2.69,45.74,28,29,49.12,39.29,33.33,0,0,83.33,3.7,89.66,0.934
Vancouver Canucks,63,67,48.46,31,34,47.69,0,3,0.0,2.41,2.85,45.8,32,32,50.0,41.67,43.75,-,0,100,0.0,91.18,0.912
Vegas Golden Knights,67,63,51.54,34,31,52.31,3,0,100.0,2.85,2.41,54.2,32,32,50.0,58.33,56.25,-,0,100,8.82,100.0,1.088
Boston Bruins,64,52,55.17,30,26,53.57,1,3,25.0,3.03,2.69,52.99,25,29,46.3,50.0,53.85,0,0,83.33,3.33,88.46,0.9179999999999999
Tampa Bay Lightning,52,64,44.83,26,30,46.43,3,1,75.0,2.69,3.03,47.01,29,25,53.7,50.0,46.15,100,16.67,100,11.54,96.67,1.082
Colorado Avalanche,74,48,60.66,37,29,56.06,4,5,44.44,3.55,3.58,49.85,35,32,52.24,52.78,45.83,16.67,9.09,61.54,10.81,82.76,0.9359999999999999
Dallas Stars,48,74,39.34,29,37,43.94,5,4,55.56,3.58,3.55,50.15,32,35,47.76,47.22,54.17,83.33,38.46,90.91,17.24,89.19,1.064
New York Islanders,52,68,43.33,33,38,46.48,3,2,60.0,3.61,2.59,58.17,36,37,49.32,53.33,50.0,66.67,18.18,90.91,9.09,94.74,1.038
Philadelphia Flyers,68,52,56.67,38,33,53.52,2,3,40.0,2.59,3.61,41.83,37,36,50.68,46.67,50.0,33.33,9.09,81.82,5.26,90.91,0.9620000000000001
Vancouver Canucks,51,62,45.13,31,33,48.44,3,5,37.5,2.38,3.87,38.06,21,35,37.5,48.0,52.38,33.33,9.09,80,9.68,84.85,0.945
Vegas Golden Knights,62,51,54.87,33,31,51.56,5,3,62.5,3.87,2.38,61.94,35,21,62.5,52.0,47.62,66.67,20,90.91,15.15,90.32,1.055
Boston Bruins,100,90,52.63,47,35,57.32,2,3,40.0,3.16,2.96,51.64,47,44,51.65,46.43,50.0,50,11.11,88.89,4.26,91.43,0.9570000000000001
Tampa Bay Lightning,90,100,47.37,35,47,42.68,3,2,60.0,2.96,3.16,48.36,44,47,48.35,53.57,50.0,50,11.11,88.89,8.57,95.74,1.043
Colorado Avalanche,56,72,43.75,41,34,54.67,6,3,66.67,4.9,3.23,60.25,27,34,44.26,51.61,54.17,66.67,30.77,81.82,14.63,91.18,1.058
Dallas Stars,72,56,56.25,34,41,45.33,3,6,33.33,3.23,4.9,39.75,34,27,55.74,48.39,45.83,33.33,18.18,69.23,8.82,85.37,0.9420000000000001
Vancouver Canucks,38,79,32.48,17,43,28.33,2,1,66.67,1.21,3.47,25.84,15,39,27.78,22.22,23.08,66.67,66.67,90,11.76,97.67,1.094
Vegas Golden Knights,79,38,67.52,43,17,71.67,1,2,33.33,3.47,1.21,74.16,39,15,72.22,77.78,76.92,33.33,10,33.33,2.33,88.24,0.9059999999999999
New York Islanders,60,79,43.17,32,32,50.0,3,4,42.86,3.18,2.62,54.87,31,28,52.54,63.33,60.0,50,16.67,75,9.38,87.5,0.9690000000000001
Philadelphia Flyers,79,60,56.83,32,32,50.0,4,3,57.14,2.62,3.18,45.13,28,31,47.46,36.67,40.0,50,25,83.33,12.5,90.63,1.031
Colorado Avalanche,61,57,51.69,24,28,46.15,4,1,80.0,3.35,2.23,60.09,31,23,57.41,61.54,52.38,100,9.09,100,16.67,96.43,1.131
Dallas Stars,57,61,48.31,28,24,53.85,1,4,20.0,2.23,3.35,39.91,23,31,42.59,38.46,47.62,0,0,90.91,3.57,83.33,0.8690000000000001
New York Islanders,107,75,58.79,53,31,63.1,4,5,44.44,5.12,3.02,62.9,51,32,61.45,68.75,70.83,40,11.76,57.14,7.55,83.87,0.914
Philadelphia Flyers,75,107,41.21,31,53,36.9,5,4,55.56,3.02,5.12,37.1,32,51,38.55,31.25,29.17,60,42.86,88.24,16.13,92.45,1.0859999999999999
Vancouver Canucks,42,90,31.82,23,48,32.39,4,0,100.0,3.08,5.32,36.7,24,52,31.58,37.14,37.04,100,20,100,17.39,100.0,1.1740000000000002
Vegas Golden Knights,90,42,68.18,48,23,67.61,0,4,0.0,5.32,3.08,63.3,52,24,68.42,62.86,62.96,0,0,80,0.0,82.61,0.826
Vancouver Canucks,39,78,33.33,14,36,28.0,0,3,0.0,1.47,4.31,25.39,21,35,37.5,27.27,15.38,0,0,81.82,0.0,91.67,0.917
Vegas Golden Knights,78,39,66.67,36,14,72.0,3,0,100.0,4.31,1.47,74.61,35,21,62.5,72.73,84.62,100,18.18,100,8.33,100.0,1.083
Colorado Avalanche,84,65,56.38,44,35,55.7,4,5,44.44,4.33,2.65,62.02,44,32,57.89,65.71,61.54,42.86,18.75,60,9.09,85.71,0.948
Dallas Stars,65,84,43.62,35,44,44.3,5,4,55.56,2.65,4.33,37.98,32,44,42.11,34.29,38.46,57.14,40,81.25,14.29,90.91,1.052
New York Islanders,55,49,52.88,26,16,61.9,4,0,100.0,3.5,2.13,62.16,36,31,53.73,53.85,53.33,-,0,100,15.38,100.0,1.1540000000000001
Philadelphia Flyers,49,55,47.12,16,26,38.1,0,4,0.0,2.13,3.5,37.84,31,36,46.27,46.15,46.67,-,0,100,0.0,84.62,0.846
Dallas Stars,51,48,51.52,25,25,50.0,1,0,100.0,2.3,1.4,62.21,29,16,64.44,64.29,63.64,100,14.29,100,4.0,100.0,1.04
Vegas Golden Knights,48,51,48.48,25,25,50.0,0,1,0.0,1.4,2.3,37.79,16,29,35.56,35.71,36.36,0,0,85.71,0.0,96.0,0.96
New York Islanders,43,47,47.78,24,34,41.38,2,8,20.0,2.87,2.87,49.96,28,24,53.85,42.31,39.13,12.5,11.11,50,8.33,76.47,0.848
Tampa Bay Lightning,47,43,52.22,34,24,58.62,8,2,80.0,2.87,2.87,50.04,24,28,46.15,57.69,60.87,87.5,50,88.89,23.53,91.67,1.1520000000000001
Dallas Stars,41,56,42.27,24,32,42.86,0,3,0.0,1.99,3.29,37.67,20,30,40.0,33.33,28.57,0,0,80,0.0,90.63,0.9059999999999999
Vegas Golden Knights,56,41,57.73,32,24,57.14,3,0,100.0,3.29,1.99,62.33,30,20,60.0,66.67,71.43,100,20,100,9.38,100.0,1.094
New York Islanders,59,49,54.63,28,21,57.14,1,2,33.33,2.74,2.71,50.2,33,23,58.93,55.56,52.94,100,11.11,100,3.57,90.48,0.94
Tampa Bay Lightning,49,59,45.37,21,28,42.86,2,1,66.67,2.71,2.74,49.8,23,33,41.07,44.44,47.06,0,0,88.89,9.52,96.43,1.06
Dallas Stars,44,73,37.61,23,40,36.51,3,2,60.0,2.19,3.79,36.67,23,22,51.11,37.5,36.84,50,14.29,91.67,13.04,95.0,1.08
Vegas Golden Knights,73,44,62.39,40,23,63.49,2,3,40.0,3.79,2.19,63.33,22,23,48.89,62.5,63.16,50,8.33,85.71,5.0,86.96,0.92
New York Islanders,58,77,42.96,36,37,49.32,5,3,62.5,3.01,2.87,51.19,31,31,50.0,46.88,57.14,57.14,33.33,66.67,13.89,91.89,1.058
Tampa Bay Lightning,77,58,57.04,37,36,50.68,3,5,37.5,2.87,3.01,48.81,31,31,50.0,53.13,42.86,42.86,33.33,66.67,8.11,86.11,0.9420000000000001
Dallas Stars,38,69,35.51,20,33,37.74,2,1,66.67,2.21,3.69,37.49,22,30,42.31,44.44,52.94,100,22.22,100,10.0,96.97,1.07
Vegas Golden Knights,69,38,64.49,33,20,62.26,1,2,33.33,3.69,2.21,62.51,30,22,57.69,55.56,47.06,0,0,77.78,3.03,90.0,0.93
New York Islanders,58,61,48.74,27,36,42.86,1,4,20.0,2.25,3.76,37.39,31,31,50.0,46.43,31.58,0,0,76.92,3.7,88.89,0.9259999999999999
Tampa Bay Lightning,61,58,51.26,36,27,57.14,4,1,80.0,3.76,2.25,62.61,31,31,50.0,53.57,68.42,100,23.08,100,11.11,96.3,1.074
Dallas Stars,54,65,45.38,26,36,41.94,3,2,60.0,2.24,2.71,45.3,22,35,38.6,37.04,35.0,50,14.29,92.31,11.54,94.44,1.06
Vegas Golden Knights,65,54,54.62,36,26,58.06,2,3,40.0,2.71,2.24,54.7,35,22,61.4,62.96,65.0,50,7.69,85.71,5.56,88.46,0.94
New York Islanders,64,84,43.24,24,37,39.34,2,1,66.67,1.88,3.34,35.94,26,40,39.39,33.33,41.67,100,20,100,8.33,97.3,1.056
Tampa Bay Lightning,84,64,56.76,37,24,60.66,1,2,33.33,3.34,1.88,64.06,40,26,60.61,66.67,58.33,0,0,80,2.7,91.67,0.9440000000000001
New York Islanders,64,103,38.32,27,48,36.0,1,2,33.33,2.09,3.58,36.84,25,40,38.46,38.46,46.15,0,0,71.43,3.7,95.83,0.995
Tampa Bay Lightning,103,64,61.68,48,27,64.0,2,1,66.67,3.58,2.09,63.16,40,25,61.54,61.54,53.85,100,28.57,100,4.17,96.3,1.005
Dallas Stars,51,77,39.84,20,36,35.71,4,1,80.0,3.18,2.53,55.76,28,26,51.85,60.0,58.33,66.67,28.57,80,20.0,97.22,1.172
Tampa Bay Lightning,77,51,60.16,36,20,64.29,1,4,20.0,2.53,3.18,44.24,26,28,48.15,40.0,41.67,33.33,20,71.43,2.78,80.0,0.828
Dallas Stars,52,60,46.43,29,31,48.33,2,3,40.0,2.52,3.04,45.38,24,25,48.98,44.0,45.0,66.67,22.22,90.91,6.9,90.32,0.972
Tampa Bay Lightning,60,52,53.57,31,29,51.67,3,2,60.0,3.04,2.52,54.62,25,24,51.02,56.0,55.0,33.33,9.09,77.78,9.68,93.1,1.028
Dallas Stars,43,45,48.86,24,32,42.86,2,5,28.57,2.2,2.17,50.44,30,22,57.69,57.89,53.33,33.33,12.5,71.43,8.33,84.38,0.927
Tampa Bay Lightning,45,43,51.14,32,24,57.14,5,2,71.43,2.17,2.2,49.56,22,30,42.31,42.11,46.67,66.67,28.57,87.5,15.63,91.67,1.073
Dallas Stars,58,68,46.03,30,35,46.15,4,5,44.44,2.43,3.84,38.75,25,32,43.86,37.93,38.1,57.14,50,76.92,13.33,85.71,0.99
Tampa Bay Lightning,68,58,53.97,35,30,53.85,5,4,55.56,3.84,2.43,61.25,32,25,56.14,62.07,61.9,42.86,23.08,50,14.29,86.67,1.01
Dallas Stars,68,92,42.5,33,41,44.59,3,2,60.0,4.26,3.18,57.31,37,42,46.84,61.29,61.54,75,18.75,90,9.09,95.12,1.042
Tampa Bay Lightning,92,68,57.5,41,33,55.41,2,3,40.0,3.18,4.26,42.69,42,37,53.16,38.71,38.46,25,10,81.25,4.88,90.91,0.958
Dallas Stars,57,55,50.89,22,29,43.14,0,2,0.0,2.47,2.19,52.93,28,20,58.33,69.57,58.33,0,0,60,0.0,93.1,0.9309999999999999
Tampa Bay Lightning,55,57,49.11,29,22,56.86,2,0,100.0,2.19,2.47,47.07,20,28,41.67,30.43,41.67,100,40,100,6.9,100.0,1.069
